"","level","Overall"
"n","","94"
"gender (%)","0","28 (29.8)"
"","1","66 (70.2)"
"age (mean (SD))","","65.05 (8.70)"
"age_at_diagnosis (mean (SD))","","54.56 (10.72)"
"duration (mean (SD))","","10.48 (5.92)"
"marital_status (mean (SD))","","1.56 (1.43)"
"cat.education (%)","none","5 (5.3)"
"","recognized_vocational_training","50 (53.2)"
"","Fachhochschule","8 (8.5)"
"","University","31 (33.0)"
"religious_affiliation (%)","no","35 (37.2)"
"","yes","59 (62.8)"
"cat.independent_living (%)","in_own_household","89 (94.7)"
"","in_assisted_living","2 (2.1)"
"","In_the_nursing_home_senior_residence","3 (3.2)"
"Cohabitation (mean (SD))","","2.04 (0.94)"
"cat.nursing_support (%)","no","48 (51.1)"
"","family_carer","30 (31.9)"
"","outpatient_nursing_service","12 (12.8)"
"","personal_carer","4 (4.3)"
"cat.residential_location (%)","city","10 (12.0)"
"","middle_town","32 (38.6)"
"","small_town","21 (25.3)"
"","Rural_town_rural_municipality","20 (24.1)"
"cat.advance_directive (%)","no","36 (38.3)"
"","yes","58 (61.7)"
"cat.power_attorney (%)","no","40 (42.6)"
"","yes","54 (57.4)"
"cat.palliative_care_knowledge (%)","no","13 (13.8)"
"","yes","81 (86.2)"
"cat.hospice_knowledge (%)","no","9 (9.6)"
"","yes","85 (90.4)"
"cat.thoughts_EOLwishes (%)","never","20 (21.3)"
"","rarely","13 (13.8)"
"","now and then","39 (41.5)"
"","frequently","22 (23.4)"
"Sharing_of_thoughts (%)","0","17 (18.1)"
"","1","20 (21.3)"
"","2","43 (45.7)"
"","3","14 (14.9)"
"Thoughts_dicussed_with (%)","0","53 (67.1)"
"","1","10 (12.7)"
"","4","3 (3.8)"
"","5","3 (3.8)"
"","6","10 (12.7)"
"asked_about_end_of_life_wishes (%)","0","30 (31.9)"
"","1","21 (22.3)"
"","2","36 (38.3)"
"","3","4 (4.3)"
"","4","3 (3.2)"
"asked_by_whom (%)","0","40 (63.5)"
"","1","10 (15.9)"
"","3","1 (1.6)"
"","4","1 (1.6)"
"","5","2 (3.2)"
"","6","9 (14.3)"
"cat.prefered_place_of_care (%)","own_household","60 (63.8)"
"","nursing_home_senior_residence","14 (14.9)"
"","Hospital","1 (1.1)"
"","Hospice","5 (5.3)"
"","household_of_relatives","2 (2.1)"
"","other","3 (3.2)"
"","not_important","9 (9.6)"
"cat.prefered_place_of_death (%)","own_household","41 (43.6)"
"","nursing_home_senior_residence","6 (6.4)"
"","Hospital","1 (1.1)"
"","Hospice","8 (8.5)"
"","household_of_relatives","4 (4.3)"
"","other","3 (3.2)"
"","not_important","31 (33.0)"
"cat.pod_family_friends (%)","no","44 (46.8)"
"","yes","50 (53.2)"
"cat.pod_GP (%)","no","86 (91.5)"
"","yes","6 (6.4)"
"","I_dont_know","2 (2.1)"
"cat.pod_neurologist (%)","no","90 (95.7)"
"","yes","1 (1.1)"
"","I_dont_know","3 (3.2)"
"cat.pod_AD (%)","no","72 (76.6)"
"","yes","15 (16.0)"
"","I_dont_know","7 (7.4)"
"LEDD (mean (SD))","","728.47 (486.60)"
"Hoehn_Yahr (%)","1","3 (3.2)"
"","2","41 (43.6)"
"","3","21 (22.3)"
"","4","22 (23.4)"
"","5","5 (5.3)"
"","6","1 (1.1)"
"","7","1 (1.1)"
"PDQ_score (mean (SD))","","43.37 (23.79)"
"bdi_score (mean (SD))","","8.50 (4.63)"
"MOCA_score (mean (SD))","","25.89 (3.16)"
"Charlson_withoutage (mean (SD))","","0.50 (1.03)"
"Charlson_withage (mean (SD))","","2.51 (1.52)"
